video_name,hip_rom,knee_rom,torso_stability,heel_instability,toe_instability,knee_min_angle,hip_min_angle,torso_lean_peak,torso_lean_mean,descent_frames,ascent_frames,descent_ascent_ratio,knee_over_toe_mean,knee_over_toe_max,hip_below_knee_frac
40,48.280240992497326,47.583862974411815,4.109846590292416,0.6850645285060913,0.5571056452824176,69.16853396197851,82.7468519562194,20.37219328141699,17.191393885251095,43.0,38.0,1.1315789175900286,-0.6243001018366371,-0.3873465784441047,0.0
41,39.22686195635879,38.58079611190202,2.267305645276684,0.8451146063744711,0.8818299314702033,78.31332307760492,89.12275282924298,21.41977641010535,18.455382656439635,43.0,30.0,1.4333332855555572,-0.5930559763646811,-0.3653986510780566,0.0
42,103.37866277149844,109.06863055385978,1.629264726971702,0.7386126593544801,1.7735684554336373,59.64977740638011,71.36664172235905,15.322410238476303,12.456930205802273,24.0,25.0,0.9599999616000016,-0.6194266020321675,-0.1665317854435195,0.2222222222222222
43,101.3801860184358,106.63339104372298,1.7990311265584815,1.1651738075187443,1.3858624807704123,62.627901792816,75.17308488400984,16.260980446144853,12.57888947691061,21.0,22.0,0.9545454111570268,-0.6272316976596959,-0.1838758136601161,0.1111111111111111
44,100.95002525499024,99.88876817575805,3.113680569760876,0.9889316383812436,1.7249769077772663,60.191026162844125,70.09372374214159,15.885814004904638,12.911711210584246,27.0,24.0,1.124999953125002,-0.6378406711873099,-0.1761617251374701,0.1944444444444444
45,85.25159918114917,87.43980398955591,2.78592732447665,1.095444741172068,1.2975190885198524,75.22887288151136,81.84562400113518,18.65479310057791,14.346209865392588,24.0,23.0,1.0434782155009472,-0.4369724785749525,-0.1330764271682647,0.0
46,79.63704573249899,77.94800243657778,3.7438898607979465,0.9900129437845544,0.8267976039226594,79.3907748356568,85.32746838059711,17.70367192046126,13.246313471188758,25.0,21.0,1.1904761337868508,-0.4398681323438321,-0.1290676917989449,0.0
47,78.79633376436658,78.69384290030678,4.413072852521678,1.209883238506156,1.267262198627559,81.67038174026675,91.62701185853916,16.621867029831705,11.467206582849403,25.0,20.0,1.249999937500003,-0.4475989033945881,-0.125699861956425,0.0
48,105.42307611645148,113.274035338653,1.0142347988640923,0.7548038334101328,1.0632727173300416,49.4739490860307,60.74604553079585,22.65527981994082,18.291204931059585,28.0,28.0,0.9999999642857156,-0.5830628294922213,-0.2569703952369301,0.2777777777777778
49,110.0044388966635,115.98430554795792,0.807133031744966,0.7635495908079464,0.708997059205115,49.28736563778618,58.904738372510295,22.358216959971408,17.663924625720473,22.0,27.0,0.8148147846364894,-0.5667710474533938,-0.2464936037674663,0.3055555555555556
