video_name,valgus_min,valgus_max,valgus_variation,torso_lateral_peak,symmetry_mean,heel_wobble,heel_instability,toe_instability,knee_cave_frames,knee_cave_frac,knee_asym_mean,knee_asym_std,ankle_width_mean,ankle_width_std,hip_shift_max,hip_shift_std,sho_hip_offset_mean,sho_hip_offset_max
274,2.379302530460407,2.7757511208820502,0.1014032747811467,9.157838821411133,1.7611486571077173,1.0533032279538226,0.7642656143177138,0.949829529207034,0.0,0.0,-2.167869742809575,0.0836949485165502,77.21206135219998,0.8153916008289445,9.070844650268556,2.4830128993418894,4.025840494367811,9.157838821411133
275,2.563324221976941,2.860329163151891,0.0932646675360992,8.056144714355469,1.5980100704190272,0.2509389946249458,0.7261380896723324,0.4618406723514094,0.0,0.0,-1.9897387401406417,0.0162778058354536,84.67360178629558,0.5988354212522925,5.158605575561523,1.2336422957304127,4.962092240651448,8.056144714355469
276,0.5849717950664044,18.052518328613253,4.258086723614656,58.54287147521973,1.851723080330899,16.96162748625321,8.923404701075249,10.029257056026037,1.0,0.0277777770061728,-1.7128048967932927,0.9369743301600796,53.12087376912435,24.05701194243071,46.842384338378906,11.922775930617204,22.62658092710707,58.54287147521973
277,2.97547602680426,3.171251592102996,0.0426647524174922,21.374588012695312,1.6872326592754667,1.3045864303651038,0.7915382831047986,0.6032612017963946,0.0,0.0,-1.7000818644152822,0.0085888487950084,119.30840916103789,0.7826512905279508,13.033838272094728,3.964671513457588,17.921422322591145,21.374588012695312
278,1.048631318958547,38.57953164351078,8.214269201823452,4.145450592041016,2.544874570054217,2.2529775675479837,0.5038401554419544,0.7648547318513697,0.0,0.0,-1.303875853572888,0.4690888249428128,5.818685531616211,1.9613175664801508,11.823177337646484,3.2367244738472456,2.886041005452474,4.287624359130859
279,2.589163669023024,3.0024967391956974,0.1408931367462007,35.81878185272217,1.6341659897204746,1.3089859457809148,0.936531204550812,0.4427526545784512,0.0,0.0,-2.1222372055391925,0.0664329085058356,79.97212145063612,0.956685950316424,8.904104232788086,3.0939644343653683,30.43638163142734,35.81878185272217
280,0.1637847436607628,5.607465781545471,1.1740547312125114,14.067001342773438,1.831134443358624,20.15027841457287,3.318644378823793,3.9857897982803614,1.0,0.0555555524691359,-1.12960255297434,0.710326048528737,37.75737656487359,23.123115514188974,138.8053035736084,36.67607412582949,6.132363743252224,14.067001342773438
281,2.481396189058745,2.7797930410916467,0.0969847511161472,30.195565223693848,1.5470360848839455,2.1574315783186813,1.1063243784903476,0.606910377299876,0.0,0.0,-1.9570185491949768,0.041766911311078,85.88179217444525,0.6435798212291035,5.588274002075195,1.4576463659145162,23.609026538001167,30.195565223693848
282,3.2235488226821065,24.71277266828124,5.374406468142052,29.530467987060547,5.445328861303135,46.50869272058255,2.8790448144556717,5.586059285702078,0.0,0.0,0.6183331046161769,0.3485612001549972,77.12550481160481,40.60278670276772,98.67471694946288,35.26024671532691,9.656753540039062,29.530467987060547
283,2.2241141001516107,2.425379171936118,0.0625637133844626,9.791183471679688,1.6960005200735957,0.8033534108008582,1.4085904760910142,0.6620380283573613,0.0,0.0,-1.850604422908814,0.0214991954359255,80.90439213646783,0.655890695857782,6.206588745117188,1.7870145106003277,2.953109873665704,9.791183471679688
284,2.240280159438706,2.781056361008873,0.1813650569418492,12.837886810302734,1.6834002826047292,1.2042400192149798,0.5517581956041471,0.6058127079661462,0.0,0.0,-1.808875463629048,0.1328113966050481,85.31442430284288,1.8762959944347948,12.842350006103516,3.773863681502292,5.791987578074138,12.837886810302734
285,2.6896223330067266,3.1817623019627708,0.1622213979125087,16.981496810913086,1.7355072408128502,3.412404310672311,1.530278007364715,1.603985018277315,0.0,0.0,-1.963270722185476,0.1436200361757111,81.15564346313477,4.878716739962036,15.567941665649414,5.149896608794552,12.603540420532228,16.981496810913086
286,2.612102751275686,3.241696306624064,0.1631702346655488,23.327322006225582,1.679624638988727,3.940803235214108,1.140553453989788,2.536816824452895,0.0,0.0,-2.119939008792848,0.1741565322415422,83.38729010687933,6.375403752318949,23.1671142578125,8.167248318866326,18.17294756571452,23.327322006225582
287,1.0402304318554896,1.9277818503990083,0.2505563473047224,12.428903579711914,1.69760579668266,1.0482660851094252,1.2465449410443297,1.7866932037626766,0.0,0.0,-1.4932617381322582,0.2237934708778921,70.43046262529161,2.068116196914817,9.82192039489746,2.807570571880176,4.517772727542454,12.428903579711914
288,0.0992293747021567,4.669891398607551,1.1301940156023889,23.66174697875977,1.537694079255301,35.36618608213689,7.859609780558327,10.808180827821271,4.0,0.2222222098765439,1.3548878991922544,1.080110643731355,45.87091339959039,38.28217795219679,32.24921226501465,9.215252218402236,6.830215983920628,23.66174697875977
289,0.9539254179849166,1.7618185750985695,0.2753550566991602,8.071260452270508,1.515703671237524,16.392133373966047,4.392928957381963,11.748291552047627,0.0,0.0,-0.8528617727160646,0.1229752079998756,78.62013220787048,2.634940748281588,47.97778129577637,10.936746671951896,3.2891604774876644,14.79106903076172
290,2.38390102074566,2.49871606679776,0.0305832800263317,30.364131927490234,1.6340456899829212,1.6385682992860076,1.3982865354633172,0.6868735139073098,0.0,0.0,-2.022073928940617,0.0193805008905712,74.52310085296631,1.1720170329810968,7.377300262451172,2.026676911566859,27.114977439244587,30.364131927490234
291,0.7067343968378662,2.106778500721955,0.4329671055428521,8.326711654663086,1.758871392523884,1.3523197914265193,0.8927280966420141,2.1889994590701924,0.0,0.0,-1.4424113229091169,0.3694658841232313,70.98017480638292,2.278630766219528,4.644527435302734,1.296173477412042,4.200130568610297,8.326711654663086
292,2.516774172246548,2.7190721886231874,0.0610984573191875,16.99493408203125,1.6473666942124017,1.4599211822426468,1.262631653338229,2.0741519591956568,0.0,0.0,-1.8634851525401448,0.02734175838676,90.5644162495931,0.8140798358736557,18.17917823791504,5.846957803641482,14.167805777655708,16.99493408203125
293,0.8300901963513614,2.579891093007125,0.518260713418365,20.98373889923096,1.6686488247386595,1.0145523851981146,0.5257593806187986,1.1512335638588207,0.0,0.0,-1.6722667038405048,0.3763064959251963,71.20958964029948,2.3529436784007,11.202917098999023,4.195226661599179,16.285451783074272,20.98373889923096
294,2.304058338522658,2.568607619571372,0.089291286564825,25.5988883972168,1.6533764385897265,3.720860040947063,1.3009054464455665,1.1826587133602746,0.0,0.0,-1.6835492724575138,0.0667956132028676,91.90145916408964,4.267138575591294,25.469532012939453,8.178790118973518,22.527779473198784,25.5988883972168
295,2.337741092411848,3.0302445044059803,0.1853393808100791,22.609734535217285,1.6687170294608038,1.533842572390671,1.0637857818983394,1.6438220633633924,0.0,0.0,-1.7959026035547991,0.0943354928164895,101.9115898344252,1.6784018569913457,20.944175720214844,7.566417683346191,15.801068014568752,22.609734535217285
296,0.2061150291495724,4.020636730186454,0.9653182508116372,42.67460823059082,1.532551823814757,26.437535866145325,3.8799669166869393,10.812975131092433,4.0,0.1904761814058961,-1.8089210183073536,1.40129581753565,58.2289069039481,33.09361353857348,53.455562591552734,14.845231672045175,10.389345714024136,42.67460823059082
